No,Title,Date,Month,Link
1,Academic Calendar for Special Batch (2021-2022),23,Feb,https://www.baust.edu.bd/academic-calendar-for-special-batch-2021-2022-2/
2,Notice-Resume of Physical Class,20,Feb,https://www.baust.edu.bd/notice-resume-of-physical-class/
3,Leave Notice-Shahid Dibosh and International Mother Language day,20,Feb,https://www.baust.edu.bd/leave-notice-shahid-dibosh-and-international-mother-language-day/
4,Sample Top Page of Answer Script of RIB Exam Summer 2021,17,Feb,https://www.baust.edu.bd/sample-top-page-of-answer-script-of-rib-exam-summer-2021/
5,Sample page of Answer Script of RIB Exam Summer 2021,17,Feb,https://www.baust.edu.bd/sample-page-of-answer-script-of-rib-exam-summer-2021/
6,Exam Schedule of RIB Exam Summer 2021,17,Feb,https://www.baust.edu.bd/exam-schedule-of-rib-exam-summer-2021/
7,Academic Calendar for Special Batch (2021-2022),16,Feb,https://www.baust.edu.bd/academic-calendar-for-special-batch-2021-2022/
8,Academic Calendar for Regular Batch (2022-2023),16,Feb,https://www.baust.edu.bd/academic-calendar-for-regular-batch-2022-2023/
9,RIB Exam Notice Summer 2021,16,Feb,https://www.baust.edu.bd/rib-exam-notice-summer-2021/
10,Pictorial Instruction for Online Exam,16,Feb,https://www.baust.edu.bd/pictorial-instruction-for-online-exam/
11,"Instructions of RIB Examination, Summer 2021",15,Feb,https://www.baust.edu.bd/instructions-of-rib-examination-summer-2021/
12,Notice-Publication of Results Summer 2021,08,Feb,https://www.baust.edu.bd/notice-publication-of-results-summer-2021/
13,Publication of MBA Results (With Internship)-Winter 2021,30,Jan,https://www.baust.edu.bd/publication-of-mba-results-with-internship-winter-2021/
14,Notice-Waiver & Scholarship-Winter 2021,27,Jan,https://www.baust.edu.bd/notice-waiver-scholarship-winter-2021/
15,Admission Notice Winter Semester 2022,25,Jan,https://www.baust.edu.bd/admission-notice-winter-semester-2022-2/
16,Notice-Payment of Semester Fee,24,Jan,https://www.baust.edu.bd/notice-payment-of-semester-fee/
17,"Instruction for the Students for the Final Online Examination, Summer 2021",22,Jan,https://www.baust.edu.bd/instruction-for-the-students-for-the-final-online-examination-summer-2021/
18,Sample page of Answer Script of Summer 2021,22,Jan,https://www.baust.edu.bd/sample-page-of-answer-script-of-summer-2021/
19,Sample Top pag of Answer Script of Summer 2021,22,Jan,https://www.baust.edu.bd/sample-top-page-of-online-exam/
20,Notice- University Closed due to Pandemic,21,Jan,https://www.baust.edu.bd/notice/
